Industry,Dividend Yield,Momentum,Quality (ROE),Size,Value (P/B),Volatility
BMATR,-0.00019735212582005547,0.00028976186638054227,0.0002001864413318201,0.000869153834961047,0.0003925085079796361,-0.00016918396104978294
CODIS,4.1511192030065504e-05,0.00035084513970439987,-0.00019438549797154816,0.0018601131753017098,0.0015223141819639696,-6.338850872976504e-05
COSTP,-0.0010537696452090242,0.00033500217265790885,0.00017970642113490572,0.0004660882855728376,0.00040525443691952386,-0.00012681866428835474
ENEGY,-0.00022376579626528785,0.00025784973389998597,-0.00016813973929098199,0.00014889119642707343,0.0003182363540454996,-0.0007667850419438945
FINAN,-0.0007981461737252977,-0.0006364029899165728,-0.00016132255801436915,0.0011564393413724793,0.0008557123019732386,-0.00014328819017975095
HLTHC,0.01344872323354661,0.0013913005474020762,0.0038387610570518893,-0.0035702756433487965,0.006596888759718966,0.018321827801003835
INDUS,-0.0006547561163962182,2.0206740508808484e-05,-0.00039454567051109386,0.001124966494739877,0.0007731833013597127,0.00015812419090540714
RLEST,-0.0005049527500149336,0.0004744925358677792,-0.00030438295409659097,0.00030730791631400925,0.0005032333046009603,-0.00029237875228248884
TECNO,-0.0007010216285375329,-0.00028353442892657546,-0.0014640956121225886,0.002540273258338419,0.0020369002007016752,-0.0017194278205888466
TELCM,-0.0006402024832883212,-0.000991461756593657,-0.0005989990201443252,0.0008741762814678325,0.0006087493094063494,-0.0006967212340194645
UTILS,-0.0007104500735263457,-0.0006715763043566546,0.0003474104199317132,0.0009218660622095277,0.0005902800126973836,-0.00042769698125651406
