Strategy,Ann. Mean,Ann. Std,Sharpe,Max DD,% Positive,Total Return,N Months,IR
MSCI EM,0.025815700781676162,0.17516787512470183,0.14737691350824453,-0.383698708772644,0.5540540540540541,0.06742354252188143,74,
All6EW+TO_MVO (unhedged),0.08166101113390423,0.18289912171371567,0.4464811551239966,-0.2744102460114278,0.5945945945945946,0.49390875364406184,74,0.9270387081406742
All6EW+TO_MVO (hedged),0.05651791935130404,0.06143915152510594,0.9199007139317193,-0.050980469380511484,0.6216216216216216,0.39979840884304685,74,0.9199007139317193
All6EW+TO_MVO (net 20bps),0.051918998099799836,0.06143915152510594,0.8450474463109101,-0.05172716027915114,0.6216216216216216,0.360819492152479,74,
All6EW+TO_MVO (net 30bps),0.04961953747404773,0.06143915152510594,0.8076208125005054,-0.052100395571821445,0.6216216216216216,0.3417335458424884,74,
All6EW+Momentum (unhedged),0.08061391538596671,0.1815101648391063,0.4441289305060367,-0.2856284962649076,0.581081081081081,0.48613498098424746,74,0.8975932808942388
All6EW+Momentum (hedged),0.05641556827213323,0.06244990871996871,0.9033731102011049,-0.10794088689301329,0.6351351351351351,0.3984744691408917,74,0.9033731102011049
All6EW+Momentum (net 20bps),0.0496931305214543,0.06244990871996871,0.7957278327544559,-0.11241511742221921,0.581081081081081,0.3419132405780092,74,
All6EW+Momentum (net 30bps),0.04633191164611483,0.06244990871996871,0.7419051940311314,-0.11616710029407096,0.581081081081081,0.31448499255109574,74,
All6EW+EqualWeight (unhedged),0.06501476638933767,0.1858608550559639,0.3498034396202542,-0.3347403214634591,0.5135135135135135,0.3454889731652526,74,0.7226450021246922
All6EW+EqualWeight (hedged),0.040104017574091794,0.05593492497732309,0.716976336168335,-0.050826743297715415,0.6216216216216216,0.26805284721336187,74,0.716976336168335
All6EW+EqualWeight (net 20bps),0.03568340355340606,0.0559349249773231,0.6379449613613082,-0.052592145639318355,0.5945945945945946,0.23404943920987753,74,
All6EW+EqualWeight (net 30bps),0.03347309654306319,0.05593492497732309,0.5984292739577951,-0.05347386122085884,0.5945945945945946,0.21738664992085588,74,
Corr05EW+Momentum (unhedged),0.08837943816131041,0.1786625225604998,0.4946725082278116,-0.26774239266599453,0.5675675675675675,0.5633887298061966,74,0.9877927296177452
Corr05EW+Momentum (hedged),0.06524352609497105,0.06396763475336414,1.0199458889878652,-0.07423983875698192,0.527027027027027,0.47546618260966644,74,1.0199458889878652
Corr05EW+Momentum (net 20bps),0.05814181510278138,0.06396763475336414,0.908925510954954,-0.07647205039872362,0.527027027027027,0.41254023314382726,74,
Corr05EW+Momentum (net 30bps),0.05459095960668653,0.06396763475336414,0.8534153219384982,-0.07758664124412118,0.527027027027027,0.38207759367764393,74,
SF+Momentum (unhedged),0.07888686070809053,0.17348644073006686,0.4547148490459444,-0.2519825172300243,0.5675675675675675,0.4829501814015109,74,0.7979145796660744
SF+Momentum (hedged),0.0559827711668628,0.06626028471006312,0.8448917992403457,-0.15039972921204536,0.5675675675675675,0.3927094015450061,74,0.8448917992403457
SF+Momentum (net 20bps),0.05102933175104296,0.06626028471006312,0.7701345077874832,-0.15360865992214356,0.5540540540540541,0.35097916134737206,74,
SF+Momentum (net 30bps),0.048552612043133034,0.06626028471006312,0.7327558620610518,-0.15520908166532832,0.5540540540540541,0.33057905709370705,74,
