ym,portfolio_beta
2014-02-01,0.9314160456116546
2014-03-01,0.9301403528677912
2014-04-01,0.9094466594441452
2014-05-01,0.9123606101441295
2014-06-01,0.93571367060784
2014-07-01,0.9381527319805832
2014-08-01,0.9434015570028488
2014-09-01,0.9427216726694849
2014-10-01,0.9434172261270025
2014-11-01,0.9428708531455559
2014-12-01,0.9482626058076112
2015-01-01,0.9463269481399779
2015-02-01,0.9411392090465236
2015-03-01,0.939378990709209
2015-04-01,0.9454218595533997
2015-05-01,0.9471751790320837
2015-06-01,0.9532054741353252
2015-07-01,0.9538715528808647
2015-08-01,0.942916839164318
2015-09-01,0.9449647765313984
2015-10-01,0.9477970133515219
2015-11-01,0.9447685217294595
2015-12-01,0.9468274547144621
2016-01-01,0.9492767059243278
2016-02-01,0.9459672017045538
2016-03-01,0.9452129506181737
2016-04-01,0.9224439702692104
2016-05-01,0.9189694692045522
2016-06-01,0.9208965148992206
2016-07-01,0.9211113203922465
2016-08-01,0.9177840514270292
2016-09-01,0.9239827545279737
2016-10-01,0.8872256298326096
2016-11-01,0.8640147394855275
2016-12-01,0.8541487744611024
2017-01-01,0.8547105967438957
2017-02-01,0.8596693801339165
2017-03-01,0.8545481913893894
2017-04-01,0.8549455957088476
2017-05-01,0.8524415397451137
2017-06-01,0.8785364535792317
2017-07-01,0.87386772145668
2017-08-01,0.879662322196373
2017-09-01,0.8800787905225519
2017-10-01,0.8785783199025365
2017-11-01,0.8768716274205375
2017-12-01,0.8767639368066922
2018-01-01,0.8815697849175416
2018-02-01,0.8679724940437196
2018-03-01,0.8751638628059712
2018-04-01,0.8716471875354914
2018-05-01,0.8717908372328564
2018-06-01,0.8632142965925796
2018-07-01,0.8593786116006905
2018-08-01,0.8587052622005092
2018-09-01,0.8536931277394142
2018-10-01,0.845719875917367
2018-11-01,0.8555210178995315
2018-12-01,0.8560657202031186
2019-01-01,0.8578142523565642
2019-02-01,0.840809571335156
2019-03-01,0.8369087288187347
2019-04-01,0.8379463578387387
2019-05-01,0.8363705463379474
2019-06-01,0.8432766246254132
2019-07-01,0.8410027200213467
2019-08-01,0.8400348152008199
2019-09-01,0.8396385730298159
2019-10-01,0.8418262062315016
2019-11-01,0.8576913630682976
2019-12-01,0.8561526986943151
2020-01-01,0.8645610387248636
2020-02-01,0.8704637134850453
2020-03-01,0.874835265300398
2020-04-01,0.8767983665823316
2020-05-01,0.881270207488184
2020-06-01,0.8825287555590635
2020-07-01,0.8855522114752716
2020-08-01,0.8898396342573321
2020-09-01,0.8873981808681388
2020-10-01,0.888743040687516
2020-11-01,0.8860798706777633
2020-12-01,0.9138391198238524
2021-01-01,0.9305626262282781
2021-02-01,0.9306677744090507
2021-03-01,0.9302988022879521
2021-04-01,0.9408359915802462
2021-05-01,0.9426476190099807
2021-06-01,0.9434252426591495
2021-07-01,0.942258677825212
2021-08-01,0.9442651511560438
2021-09-01,0.9441876410006441
2021-10-01,0.9368536110231104
2021-11-01,0.9355776256945489
2021-12-01,0.9313290621711005
2022-01-01,0.931196571347427
2022-02-01,0.9327822458000161
2022-03-01,0.9338871125967251
2022-04-01,0.930737443584562
2022-05-01,0.9253236755368569
2022-06-01,0.9233745008365516
2022-07-01,0.9041346082344889
2022-08-01,0.9035464666269512
2022-09-01,0.9038067237523463
2022-10-01,0.918969629648079
2022-11-01,0.9260282625543694
2022-12-01,0.9856108443275046
2023-01-01,0.984798526704781
2023-02-01,0.9835622849788608
2023-03-01,0.9934943659365634
2023-04-01,0.9975801888202563
2023-05-01,0.9961687264878202
2023-06-01,1.00449917037013
2023-07-01,1.0089058035633758
2023-08-01,1.0063106622034779
2023-09-01,1.0090530581380805
2023-10-01,1.005668787710683
2023-11-01,1.0064065013346757
2023-12-01,1.0026187631301597
2024-01-01,1.0036082199766003
2024-02-01,1.0197510177877471
2024-03-01,1.0171134183502686
2024-04-01,1.0169444283668856
2024-05-01,1.0186334643705972
2024-06-01,1.0198180229965017
2024-07-01,1.0175464137495003
2024-08-01,1.0161101998001025
2024-09-01,1.018500316100124
2024-10-01,1.0223768895510712
2024-11-01,1.0193896622650849
2024-12-01,1.02170798007257
2025-01-01,1.0209124487857673
2025-02-01,1.0175876695984423
2025-03-01,1.0172360235775528
