factor,industry,avg_ic,std_ic,ir,t_stat,pct_positive,n_months
Size,BMATR,0.033176766688454665,0.16643713616971295,0.19933512106712117,3.0296315458129444,0.5844155844155844,231
Size,CODIS,0.0376361754551017,0.14604006460038968,0.25771130379930873,3.916872709250589,0.5974025974025974,231
Size,COSTP,0.007169866205562936,0.15451059320858487,0.04640371936106557,0.7052754741197675,0.5324675324675324,231
Size,ENEGY,0.012453881467040594,0.2062188652146438,0.06039157210024367,0.9178724298891938,0.5151515151515151,231
Size,FINAN,0.020202110221459617,0.09538346003853516,0.21179888225168086,3.219064315422601,0.6017316017316018,231
Size,HLTHC,0.06104224020587124,0.22008688180089364,0.27735519584985724,3.3627530366861857,0.6258503401360545,147
Size,INDUS,0.03784232925700165,0.15494090014857725,0.24423718476343922,3.7120838297767937,0.6277056277056277,231
Size,RLEST,0.030404897886691158,0.24960221302272045,0.12181341470687802,1.8026739174233417,0.547945205479452,219
Size,TECNO,0.05577521829716322,0.17312748484293794,0.3221627019404964,4.896449152854531,0.6320346320346321,231
Size,TELCM,0.02263242849149465,0.18671507730935055,0.12121371673695702,1.8422889957653918,0.5584415584415584,231
Size,UTILS,0.027803147835151917,0.2159650454587855,0.1287391104245054,1.9566650775537142,0.5064935064935064,231
Value (P/B),BMATR,0.029408957404654663,0.17869071112484425,0.16458022478912052,2.5014028544935036,0.5844155844155844,231
Value (P/B),CODIS,0.04051501761105166,0.18078521736102107,0.2241058102120415,3.4061134263928703,0.6190476190476191,231
Value (P/B),COSTP,0.02086000293510524,0.16017544024883598,0.13023221851426647,1.9793583558171337,0.5454545454545454,231
Value (P/B),ENEGY,0.014525576394613517,0.19575442879575106,0.07420305371363736,1.1277887766240131,0.5151515151515151,231
Value (P/B),FINAN,0.02392536991349877,0.12510805800157856,0.1912376412492702,2.9065605076215144,0.5974025974025974,231
Value (P/B),HLTHC,0.021268223648110717,0.22533073568477216,0.09438669599811733,1.1443778711910806,0.5510204081632653,147
Value (P/B),INDUS,0.033404262787998754,0.1698939275226825,0.19661834460527705,2.9883401184535203,0.5324675324675324,231
Value (P/B),RLEST,0.038879603149758524,0.2409298992156007,0.1613730934862774,2.388103701892246,0.5616438356164384,219
Value (P/B),TECNO,0.043594257568832034,0.1936117164925918,0.22516332357654653,3.4221862380081616,0.5887445887445888,231
Value (P/B),TELCM,0.013188282223682471,0.2004378240719254,0.06579737275011512,1.0000334865637568,0.5541125541125541,231
Value (P/B),UTILS,0.02889075067612682,0.2508946332725454,0.1151509312865332,1.7501426346135365,0.5497835497835498,231
Quality (ROE),BMATR,0.02029932690006621,0.1650561822454471,0.12298434765612146,1.8692002558583185,0.5670995670995671,231
Quality (ROE),CODIS,0.012334153537557065,0.1525667894493694,0.08084428847242839,1.2287268061125929,0.5584415584415584,231
Quality (ROE),COSTP,0.007184979300839769,0.16159725459506663,0.044462260939048884,0.6757678607662463,0.5367965367965368,231
Quality (ROE),ENEGY,0.017031663903354047,0.18738007681507377,0.09089367553287253,1.3814642659812635,0.5064935064935064,231
Quality (ROE),FINAN,0.016319728734735528,0.09919536363997052,0.1645210838075857,2.500503989394624,0.5670995670995671,231
Quality (ROE),HLTHC,0.001338005863640861,0.2215865682974221,0.0060382985932835856,0.07321047968387195,0.46938775510204084,147
Quality (ROE),INDUS,0.018392741626714726,0.16108704296354148,0.11417890159469572,1.7353690623394062,0.49783549783549785,231
Quality (ROE),RLEST,-0.007811584916300979,0.24444282032688286,-0.031956696072541146,-0.4729159151774615,0.4931506849315068,219
Quality (ROE),TECNO,0.018075900046815405,0.19440377117656216,0.09298122118422507,1.4131922129923304,0.5584415584415584,231
Quality (ROE),TELCM,-0.002964732481879359,0.20135628860654559,-0.014723813705528258,-0.22378259404633888,0.5367965367965368,231
Quality (ROE),UTILS,0.03328496030586016,0.2450002235756529,0.13585685686357013,2.0648454575662614,0.5411255411255411,231
Momentum,BMATR,0.016526709036086353,0.1856236828217458,0.0890334077250096,1.3531906431284995,0.5584415584415584,231
Momentum,CODIS,0.018915091235310356,0.17608710197110275,0.10741894791598347,1.6326266614838905,0.5281385281385281,231
Momentum,COSTP,0.01567679688083556,0.15946250494016675,0.09831023842700691,1.4941862629143037,0.5411255411255411,231
Momentum,ENEGY,0.023890270969941414,0.18852680075249642,0.1267208209898245,1.9259897339055108,0.5281385281385281,231
Momentum,FINAN,-0.005761353838015435,0.11281103453036742,-0.05107083595146489,-0.7762095050851363,0.4588744588744589,231
Momentum,HLTHC,0.016309860388766223,0.23226886918944942,0.07021974337621256,0.851369142554338,0.5782312925170068,147
Momentum,INDUS,0.025048857614670673,0.1770678017260099,0.14146477999106027,2.1500785099384885,0.5238095238095238,231
Momentum,RLEST,0.02560444637374332,0.2564495495752707,0.09984204072945013,1.477527274958956,0.54337899543379,219
Momentum,TECNO,0.03227578489554167,0.20257246809898385,0.15932957325558483,2.4215998602348336,0.5627705627705628,231
Momentum,TELCM,-0.01708298444124566,0.21939508110588143,-0.07786402664607282,-1.183430747918871,0.4675324675324675,231
Momentum,UTILS,0.024131887676256365,0.24182348321302694,0.09979133273420812,1.5166969474911067,0.5194805194805194,231
Volatility,BMATR,0.0008087054699976149,0.1794323726701093,0.004507020990490045,0.0685007885079714,0.46320346320346323,231
Volatility,CODIS,-0.016367689810834706,0.1626238234119722,-0.10064755253829392,-1.5297103618594385,0.4329004329004329,231
Volatility,COSTP,0.002351372581794163,0.17046309715199776,0.013794027100760126,0.20965106111024723,0.5021645021645021,231
Volatility,ENEGY,-0.02543269963915256,0.20366960522862793,-0.12487233728667199,-1.897895213938273,0.4458874458874459,231
Volatility,FINAN,-0.009895206754607672,0.11197147058575845,-0.08837257118123654,-1.3431467972225553,0.4805194805194805,231
Volatility,HLTHC,-0.02683750107072766,0.23789317557334894,-0.11281324487785875,-1.3677879032661253,0.48299319727891155,147
Volatility,INDUS,-0.00837458776820797,0.16681300823938905,-0.050203445502222555,-0.7630263116092785,0.47186147186147187,231
Volatility,RLEST,-0.02152559218173674,0.2574272629727639,-0.08361815268965576,-1.2374356571440386,0.4748858447488584,219
Volatility,TECNO,-0.02344763858870527,0.23287508809630367,-0.10068762090605708,-1.5303193483256199,0.48484848484848486,231
Volatility,TELCM,-0.01853792126046081,0.23081841704888142,-0.08031387398577886,-1.220665203859528,0.47619047619047616,231
Volatility,UTILS,-0.016726758673766,0.23409035080746113,-0.07145428513422036,-1.0860111111741948,0.47619047619047616,231
Dividend Yield,BMATR,-0.002508402953568701,0.17189045261893685,-0.014593032453812707,-0.2217948911083056,0.4935064935064935,231
Dividend Yield,CODIS,-0.005100739889226135,0.15294003520102245,-0.03335124045526593,-0.5068949698093751,0.46320346320346323,231
Dividend Yield,COSTP,-0.02240701805798273,0.16721547008304577,-0.13400086754445942,-2.0366368621126965,0.46320346320346323,231
Dividend Yield,ENEGY,0.0010050703311006457,0.19580824416203865,0.00513293163626406,0.07801380672144811,0.48917748917748916,231
Dividend Yield,FINAN,-0.016191023795403374,0.09868796965105114,-0.16406279157077502,-2.493538550437305,0.4199134199134199,231
Dividend Yield,HLTHC,-0.04202411772362229,0.23048651530151495,-0.18232788008724807,-2.210608063632076,0.40816326530612246,147
Dividend Yield,INDUS,-0.008772141835168851,0.16311588518552836,-0.053778587077471934,-0.8173637592157927,0.45021645021645024,231
Dividend Yield,RLEST,-0.059491406685106496,0.26288640791529744,-0.22630080861493135,-3.3489461416347117,0.3972602739726027,219
Dividend Yield,TECNO,-0.003420798210843975,0.18683470405114147,-0.018309222733628838,-0.27827609342580034,0.5151515151515151,231
Dividend Yield,TELCM,-0.019866776154533455,0.21918339860401062,-0.09063996763014848,-1.3776082397004956,0.4675324675324675,231
Dividend Yield,UTILS,-0.01995630281575137,0.2396913689746172,-0.0832583288297907,-1.2654170430381153,0.47186147186147187,231
