year,USD Return,Local Return,FX Return,Months
2009,120.5815784649244,90.84452785871014,15.420070293240574,10.0
2010,57.804391819386346,48.36368400413895,5.821252549422762,12.0
2011,8.125545851248738,14.268394081061864,-5.127194289081871,12.0
2012,38.51687193874837,42.00115641395077,-2.276973096241941,12.0
2013,17.396104068586293,31.983587623224242,-10.074041435852532,12.0
2014,18.312353490772317,31.801620183225786,-9.55821240839283,12.0
2015,7.362267810863954,26.170878441931244,-12.903527062806052,12.0
2016,11.340795207890132,15.496095912255425,-2.751037303802717,12.0
2017,72.91129988309856,71.8949367076177,2.0734403540429547,12.0
2018,13.466029196459829,22.113951326760816,-6.457146472393416,12.0
2019,34.691027069770655,41.12859512288247,-3.09065494069376,12.0
2020,39.346160957402375,50.04864555320876,-5.83089407544154,12.0
2021,31.65763942683979,40.39712804532294,-5.290272541525298,12.0
2022,2.119672875084677,14.21985138162265,-11.247594878491451,12.0
2023,32.53011068415239,40.43126011203584,-4.074171939356896,12.0
2024,37.92351347796221,48.247503803979285,-6.860509215642341,12.0
2025,9.027179253076323,11.54686506722571,-1.9938079497234806,3.0
