country,ann_ret,ann_vol,sharpe,n_months,avg_stocks
ISRAEL,20.6,22.6,0.91,84.0,8.0
IRELAND,43.6,70.0,0.623,63.0,1.0
MEXICO,14.8,24.6,0.603,255.0,13.188235294117646
INDIA,14.5,25.0,0.581,207.0,45.34782608695652
UNITED ARAB EMIRATES,11.4,20.4,0.557,123.0,5.365853658536586
MOROCCO,11.5,21.1,0.546,96.0,1.125
SAUDI ARABIA,9.1,16.9,0.54,63.0,18.761904761904763
CZECH REPUBLIC,12.7,24.1,0.525,147.0,1.7551020408163265
TAIWAN,10.0,20.5,0.488,255.0,54.188235294117646
SINGAPORE,12.6,26.3,0.48,195.0,1.323076923076923
PHILIPPINES,11.1,23.7,0.47,255.0,6.847058823529411
POLAND,15.7,34.0,0.463,255.0,6.176470588235294
SOUTH AFRICA,12.6,27.5,0.459,255.0,22.894117647058824
CHILE,12.3,27.0,0.456,255.0,8.117647058823529
INDONESIA,12.1,27.3,0.444,255.0,11.341176470588236
MALAYSIA,7.2,16.2,0.443,255.0,13.894117647058824
HUNGARY,13.5,30.9,0.436,255.0,2.9529411764705884
THAILAND,9.3,22.7,0.411,255.0,10.4
SOUTH KOREA,10.7,26.2,0.409,255.0,53.07058823529412
CHINA,11.6,28.9,0.403,255.0,61.32941176470588
UNITED STATES,11.5,30.9,0.372,171.0,1.0701754385964912
BRAZIL,12.4,33.7,0.367,255.0,25.49411764705882
HONG KONG,10.0,27.6,0.362,255.0,17.705882352941178
COLOMBIA,10.8,31.6,0.343,216.0,2.4444444444444446
UNITED KINGDOM,11.8,48.8,0.242,255.0,1.0
RUSSIAN FEDERATION,8.2,34.3,0.238,192.0,9.0
TURKEY,8.7,36.9,0.237,243.0,10.333333333333334
PERU,5.1,27.9,0.182,183.0,1.6557377049180328
EGYPT,5.6,34.5,0.162,207.0,1.173913043478261
QATAR,3.1,19.4,0.162,123.0,4.7317073170731705
NETHERLANDS,2.8,44.9,0.063,87.0,1.2758620689655173
LUXEMBOURG,1.2,31.6,0.038,63.0,1.7619047619047619
